,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
9279,36,management,married,tertiary,no,-661,yes,yes,unknown,5,jun,221,3,-1,0,unknown,no
9282,58,admin.,married,primary,no,549,no,no,unknown,5,jun,82,2,-1,0,unknown,no
9289,28,admin.,single,unknown,no,731,yes,no,unknown,5,jun,718,13,-1,0,unknown,no
9290,47,blue-collar,married,unknown,no,3460,yes,no,unknown,5,jun,394,2,-1,0,unknown,no
9298,38,technician,married,secondary,no,635,no,no,unknown,5,jun,31,5,-1,0,unknown,no
9305,53,blue-collar,married,primary,no,0,yes,no,unknown,5,jun,285,2,-1,0,unknown,no
9320,35,housemaid,single,secondary,no,1015,yes,no,unknown,5,jun,406,2,-1,0,unknown,yes
9324,60,technician,divorced,secondary,no,0,no,no,unknown,6,jun,105,1,-1,0,unknown,no
9335,41,services,married,secondary,no,-140,no,yes,unknown,6,jun,190,1,-1,0,unknown,no
9340,56,services,married,primary,no,444,yes,no,unknown,6,jun,432,1,-1,0,unknown,no
9343,30,blue-collar,divorced,primary,no,1,yes,no,unknown,6,jun,63,9,-1,0,unknown,no
9346,38,blue-collar,married,secondary,no,0,no,no,unknown,6,jun,361,1,-1,0,unknown,no
9356,38,management,married,tertiary,no,881,no,yes,unknown,6,jun,79,2,-1,0,unknown,no
9363,38,blue-collar,married,secondary,no,292,yes,yes,unknown,6,jun,84,2,-1,0,unknown,no
9373,48,blue-collar,married,primary,no,72,yes,no,unknown,6,jun,114,5,-1,0,unknown,no
9378,51,management,married,tertiary,no,9796,no,yes,unknown,6,jun,110,1,-1,0,unknown,no
9379,41,housemaid,divorced,primary,no,9059,no,no,unknown,6,jun,113,1,-1,0,unknown,no
9381,26,technician,single,secondary,no,639,yes,no,unknown,6,jun,709,5,-1,0,unknown,yes
9386,56,management,married,tertiary,no,3039,no,no,unknown,6,jun,420,2,-1,0,unknown,no
9389,56,unknown,divorced,unknown,no,2152,no,no,unknown,6,jun,67,1,-1,0,unknown,no
9391,41,blue-collar,married,secondary,no,901,yes,no,unknown,6,jun,80,3,-1,0,unknown,no
9396,36,admin.,married,secondary,no,4785,no,yes,unknown,6,jun,250,1,-1,0,unknown,no
9403,37,services,single,secondary,no,148,no,yes,unknown,6,jun,64,1,-1,0,unknown,no
9407,46,unknown,married,unknown,no,613,no,no,unknown,6,jun,51,1,-1,0,unknown,no
9416,48,technician,married,secondary,no,545,no,no,unknown,6,jun,307,1,-1,0,unknown,no
9418,35,housemaid,married,primary,no,8127,no,no,unknown,6,jun,315,1,-1,0,unknown,no
9421,50,blue-collar,married,primary,no,-294,yes,no,unknown,6,jun,79,3,-1,0,unknown,no
9427,37,management,married,tertiary,no,657,no,no,unknown,6,jun,227,1,-1,0,unknown,no
9440,46,blue-collar,married,secondary,no,425,yes,no,unknown,6,jun,168,3,-1,0,unknown,no
9442,38,management,single,tertiary,no,619,yes,no,unknown,6,jun,460,4,-1,0,unknown,yes
9444,57,blue-collar,married,primary,no,679,yes,no,unknown,6,jun,78,3,-1,0,unknown,no
9462,48,management,married,secondary,no,11146,no,no,unknown,6,jun,136,1,-1,0,unknown,no
9466,36,technician,married,secondary,no,22,no,no,unknown,6,jun,464,1,-1,0,unknown,no
9468,48,services,married,secondary,no,328,no,no,unknown,6,jun,189,1,-1,0,unknown,no
9472,52,self-employed,married,tertiary,no,1088,yes,no,unknown,6,jun,217,2,-1,0,unknown,no
9473,53,entrepreneur,married,unknown,no,19850,no,no,unknown,6,jun,86,1,-1,0,unknown,no
9474,50,technician,married,secondary,no,8001,no,no,unknown,6,jun,52,1,-1,0,unknown,no
9486,44,self-employed,single,tertiary,no,97,yes,no,unknown,6,jun,153,4,-1,0,unknown,no
9488,43,admin.,married,primary,no,482,yes,no,unknown,6,jun,1041,13,-1,0,unknown,no
9491,36,services,single,primary,no,38,no,no,unknown,6,jun,308,4,-1,0,unknown,no
9496,44,blue-collar,single,secondary,no,259,yes,no,unknown,6,jun,163,2,-1,0,unknown,no
9500,53,technician,married,secondary,no,480,no,no,unknown,6,jun,648,2,-1,0,unknown,yes
9508,35,services,single,secondary,no,-2,no,no,unknown,6,jun,15,1,-1,0,unknown,no
9509,40,services,single,secondary,no,2936,no,no,unknown,6,jun,473,2,-1,0,unknown,no
9511,39,housemaid,single,secondary,no,2022,no,no,unknown,6,jun,105,1,-1,0,unknown,no
9516,29,blue-collar,single,primary,no,213,yes,no,unknown,6,jun,2653,3,-1,0,unknown,yes
9518,35,management,married,tertiary,no,482,no,no,unknown,6,jun,129,2,-1,0,unknown,no
9519,50,blue-collar,married,secondary,no,464,no,yes,unknown,6,jun,426,2,-1,0,unknown,no
9523,45,housemaid,single,secondary,no,5287,no,no,unknown,6,jun,252,2,-1,0,unknown,no
9530,46,retired,single,primary,no,1190,no,no,unknown,6,jun,316,2,-1,0,unknown,no
9531,51,technician,married,secondary,no,176,no,no,unknown,6,jun,217,4,-1,0,unknown,no
9536,58,housemaid,married,primary,no,935,yes,no,unknown,6,jun,272,2,-1,0,unknown,no
9537,58,entrepreneur,married,primary,no,52499,no,no,unknown,6,jun,198,2,-1,0,unknown,no
9539,60,housemaid,married,unknown,no,10285,no,no,unknown,6,jun,174,2,-1,0,unknown,no
9542,38,self-employed,divorced,secondary,no,0,no,no,unknown,6,jun,261,2,-1,0,unknown,no
9553,51,management,married,tertiary,no,21574,no,no,unknown,6,jun,197,3,-1,0,unknown,no
9554,41,management,married,tertiary,no,850,no,no,unknown,6,jun,262,2,-1,0,unknown,no
9570,51,housemaid,married,primary,no,1275,no,no,unknown,6,jun,92,1,-1,0,unknown,no
9580,54,blue-collar,divorced,secondary,no,218,no,no,unknown,6,jun,514,2,-1,0,unknown,no
9582,47,admin.,divorced,secondary,no,295,yes,no,unknown,6,jun,94,2,-1,0,unknown,yes
9585,37,blue-collar,married,secondary,no,287,yes,no,unknown,6,jun,191,2,-1,0,unknown,no
9593,41,blue-collar,married,primary,no,-204,yes,yes,unknown,6,jun,42,1,-1,0,unknown,no
9595,53,management,married,tertiary,no,7067,no,no,unknown,6,jun,82,3,-1,0,unknown,no
9603,48,services,divorced,primary,no,927,no,no,unknown,6,jun,201,6,-1,0,unknown,no
9606,47,unknown,married,unknown,no,0,no,no,unknown,6,jun,466,2,-1,0,unknown,no
9611,33,blue-collar,married,secondary,no,2645,yes,yes,unknown,6,jun,85,4,-1,0,unknown,no
9620,37,self-employed,married,tertiary,no,0,no,no,unknown,6,jun,143,1,-1,0,unknown,no
9627,52,management,divorced,tertiary,no,590,no,no,unknown,6,jun,354,5,-1,0,unknown,no
9629,60,retired,married,secondary,no,2586,no,no,unknown,6,jun,150,4,-1,0,unknown,no
9630,52,housemaid,single,tertiary,no,0,no,no,unknown,6,jun,431,2,-1,0,unknown,no
9639,49,services,married,secondary,no,-33,yes,no,unknown,6,jun,774,13,-1,0,unknown,no
9652,35,blue-collar,single,primary,no,3339,yes,no,unknown,6,jun,304,2,-1,0,unknown,no
9653,49,admin.,single,secondary,no,4509,no,no,unknown,6,jun,42,2,-1,0,unknown,no
9656,51,blue-collar,married,secondary,no,502,no,no,unknown,6,jun,93,2,-1,0,unknown,no
9658,60,blue-collar,divorced,primary,no,92,yes,no,unknown,6,jun,70,3,-1,0,unknown,no
9665,37,management,single,tertiary,no,7179,yes,no,unknown,6,jun,31,8,-1,0,unknown,no
9671,39,technician,single,secondary,no,1963,yes,no,unknown,6,jun,100,4,-1,0,unknown,no
9678,31,services,married,secondary,no,500,yes,no,unknown,6,jun,19,18,-1,0,unknown,no
9680,39,admin.,divorced,secondary,no,2610,no,no,unknown,6,jun,67,5,-1,0,unknown,no
9681,53,retired,married,primary,no,17,no,yes,unknown,6,jun,104,2,-1,0,unknown,no
9683,36,technician,married,secondary,no,5521,no,no,unknown,6,jun,61,1,-1,0,unknown,no
9689,59,blue-collar,married,secondary,no,0,no,no,unknown,6,jun,135,1,-1,0,unknown,no
9709,37,blue-collar,married,secondary,no,3574,yes,no,unknown,6,jun,117,1,-1,0,unknown,no
9711,36,student,married,primary,no,3503,no,no,unknown,6,jun,31,1,-1,0,unknown,no
9720,53,retired,divorced,primary,no,2997,no,no,unknown,9,jun,162,1,-1,0,unknown,no
9729,42,technician,married,secondary,no,6250,no,no,unknown,9,jun,107,3,-1,0,unknown,no
9734,53,unknown,married,secondary,no,16,no,no,unknown,9,jun,100,1,-1,0,unknown,no
9742,59,housemaid,married,primary,no,0,no,no,unknown,9,jun,332,1,-1,0,unknown,no
9744,48,management,married,primary,no,1744,no,no,unknown,9,jun,181,1,-1,0,unknown,no
9746,58,housemaid,married,primary,no,2348,no,no,unknown,9,jun,226,1,-1,0,unknown,no
9747,37,unemployed,single,primary,no,1241,no,no,unknown,9,jun,60,2,-1,0,unknown,no
9751,58,housemaid,married,primary,no,258,no,no,unknown,9,jun,174,1,-1,0,unknown,no
9754,35,self-employed,married,secondary,no,-3,no,no,unknown,9,jun,438,5,-1,0,unknown,no
9757,34,housemaid,married,tertiary,no,5011,yes,no,unknown,9,jun,311,2,-1,0,unknown,no
9759,49,management,divorced,primary,no,49,no,no,unknown,9,jun,232,1,-1,0,unknown,no
9765,25,services,married,secondary,no,77,yes,no,unknown,9,jun,220,4,-1,0,unknown,no
9770,40,blue-collar,single,primary,no,397,no,no,unknown,9,jun,163,1,-1,0,unknown,no
9776,41,management,married,secondary,no,5585,no,no,unknown,9,jun,772,1,-1,0,unknown,no
9777,56,technician,single,tertiary,no,917,no,no,unknown,9,jun,306,1,-1,0,unknown,no
9781,52,housemaid,divorced,primary,no,3899,no,no,unknown,9,jun,49,1,-1,0,unknown,no
9796,58,retired,married,secondary,no,630,no,no,unknown,9,jun,443,2,-1,0,unknown,no
9801,47,management,married,unknown,no,1046,no,no,unknown,9,jun,83,1,-1,0,unknown,no
9803,50,housemaid,married,secondary,no,1484,no,no,unknown,9,jun,213,1,-1,0,unknown,no
9804,44,technician,married,secondary,no,11016,no,no,unknown,9,jun,252,3,-1,0,unknown,no
9813,49,retired,single,primary,no,505,no,no,unknown,9,jun,35,1,-1,0,unknown,no
9815,49,services,married,secondary,no,3169,no,no,unknown,9,jun,626,1,-1,0,unknown,no
9820,39,blue-collar,divorced,secondary,no,2601,no,no,unknown,9,jun,70,1,-1,0,unknown,no
9821,55,management,married,secondary,no,8592,no,no,unknown,9,jun,255,1,-1,0,unknown,no
9825,45,housemaid,married,primary,no,1100,no,no,unknown,9,jun,331,6,-1,0,unknown,no
9827,47,technician,single,secondary,no,361,no,no,unknown,9,jun,123,2,-1,0,unknown,no
9829,60,management,married,unknown,no,2508,no,no,unknown,9,jun,91,1,-1,0,unknown,no
9832,36,services,married,primary,no,179,no,no,unknown,9,jun,411,1,-1,0,unknown,no
9833,47,technician,married,secondary,no,10179,yes,no,unknown,9,jun,179,2,-1,0,unknown,no
9846,53,management,married,primary,no,2096,no,no,unknown,9,jun,104,1,-1,0,unknown,no
9847,50,technician,married,tertiary,no,3117,no,no,unknown,9,jun,174,1,-1,0,unknown,no
9853,46,housemaid,married,primary,no,103,no,no,unknown,9,jun,186,1,-1,0,unknown,no
9854,36,technician,married,secondary,no,26,no,no,unknown,9,jun,73,1,-1,0,unknown,no
9855,48,services,married,secondary,no,533,no,no,unknown,9,jun,63,1,-1,0,unknown,no
9868,37,blue-collar,married,primary,no,1021,no,no,unknown,9,jun,173,1,-1,0,unknown,no
9872,46,admin.,single,secondary,no,9326,no,yes,unknown,9,jun,105,1,-1,0,unknown,no
9887,51,housemaid,divorced,primary,no,3982,no,no,unknown,9,jun,23,1,-1,0,unknown,no
9894,36,blue-collar,single,secondary,no,284,no,no,unknown,9,jun,114,1,-1,0,unknown,no
9904,52,housemaid,married,primary,no,5137,no,no,unknown,9,jun,199,1,-1,0,unknown,no
9907,55,management,married,secondary,no,190,no,no,unknown,9,jun,271,2,-1,0,unknown,no
9909,44,services,divorced,secondary,no,20,no,no,unknown,9,jun,98,1,-1,0,unknown,no
9913,35,services,divorced,secondary,no,305,no,no,unknown,9,jun,327,2,-1,0,unknown,no
9915,36,blue-collar,married,secondary,no,561,yes,no,unknown,9,jun,198,2,-1,0,unknown,no
9925,56,management,married,primary,no,1172,no,no,unknown,9,jun,91,3,-1,0,unknown,no
9930,45,admin.,single,secondary,no,276,no,yes,unknown,9,jun,346,2,-1,0,unknown,no
9931,57,entrepreneur,married,primary,no,1153,yes,yes,unknown,9,jun,238,6,-1,0,unknown,no
9932,41,unemployed,married,tertiary,no,1666,no,no,unknown,9,jun,291,3,-1,0,unknown,no
9940,39,management,single,tertiary,no,3281,no,no,unknown,9,jun,90,4,-1,0,unknown,no
9942,41,technician,married,secondary,no,90,no,no,unknown,9,jun,171,2,-1,0,unknown,no
9946,48,technician,married,secondary,no,5,no,no,unknown,9,jun,65,6,-1,0,unknown,no
9947,41,services,married,primary,no,510,no,no,unknown,9,jun,316,2,-1,0,unknown,no
9949,36,admin.,single,tertiary,no,3819,no,no,unknown,9,jun,398,2,-1,0,unknown,no
9950,47,management,married,primary,no,835,no,no,unknown,9,jun,137,2,-1,0,unknown,no
9954,37,admin.,married,primary,no,3913,yes,no,unknown,9,jun,76,2,-1,0,unknown,no
9956,52,blue-collar,married,primary,no,2,no,no,unknown,9,jun,70,3,-1,0,unknown,no
9958,51,admin.,divorced,secondary,no,2717,no,no,unknown,9,jun,559,2,-1,0,unknown,no
9961,48,management,married,unknown,no,598,no,no,unknown,9,jun,152,2,-1,0,unknown,no
9975,59,housemaid,married,primary,no,5501,no,no,unknown,9,jun,172,4,-1,0,unknown,no
9980,49,housemaid,married,secondary,no,3812,no,no,unknown,9,jun,121,2,-1,0,unknown,no
9982,37,blue-collar,married,secondary,no,427,yes,yes,unknown,9,jun,371,3,-1,0,unknown,no
9983,43,services,single,secondary,no,532,yes,no,unknown,9,jun,216,2,-1,0,unknown,no
9985,35,admin.,married,secondary,no,2897,no,no,unknown,9,jun,243,2,-1,0,unknown,no
9987,52,blue-collar,married,secondary,no,-519,yes,no,unknown,9,jun,442,8,-1,0,unknown,yes
9992,46,technician,married,secondary,no,399,yes,no,unknown,9,jun,699,2,-1,0,unknown,no
9993,38,blue-collar,married,primary,no,3289,no,no,unknown,9,jun,553,2,-1,0,unknown,no
9997,52,entrepreneur,married,tertiary,no,1115,yes,no,unknown,9,jun,124,2,-1,0,unknown,no
10008,57,services,divorced,primary,no,1367,no,no,unknown,9,jun,144,3,-1,0,unknown,no
10013,35,blue-collar,married,secondary,no,3015,yes,no,unknown,9,jun,753,2,-1,0,unknown,no
10024,35,housemaid,single,unknown,no,4378,no,no,unknown,9,jun,376,3,-1,0,unknown,no
10025,48,entrepreneur,married,unknown,no,3233,no,no,unknown,9,jun,66,6,-1,0,unknown,no
10033,41,management,married,tertiary,no,36,no,no,unknown,9,jun,44,4,-1,0,unknown,no
10036,38,blue-collar,married,secondary,no,1116,no,no,unknown,9,jun,80,3,-1,0,unknown,no
10039,39,blue-collar,single,secondary,no,16917,no,no,unknown,11,jun,129,6,-1,0,unknown,no
10042,35,blue-collar,single,secondary,no,406,yes,no,unknown,11,jun,126,12,-1,0,unknown,no
10044,49,blue-collar,married,secondary,no,55,no,no,unknown,11,jun,112,4,-1,0,unknown,no
10046,38,self-employed,single,secondary,no,4056,no,no,unknown,11,jun,69,2,-1,0,unknown,no
10049,57,self-employed,married,unknown,no,964,no,no,unknown,11,jun,70,5,-1,0,unknown,no
10050,42,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878,3,-1,0,unknown,yes
10054,41,admin.,single,secondary,no,812,no,yes,unknown,11,jun,583,4,-1,0,unknown,yes
10055,38,admin.,single,secondary,no,4023,no,no,unknown,11,jun,339,2,-1,0,unknown,no
10056,37,management,single,secondary,no,235,no,no,unknown,11,jun,27,2,-1,0,unknown,no
10058,36,blue-collar,married,primary,no,409,yes,no,unknown,11,jun,81,3,-1,0,unknown,no
10062,45,blue-collar,married,primary,no,13117,no,no,unknown,11,jun,42,2,-1,0,unknown,no
10069,48,technician,married,secondary,no,1637,yes,no,unknown,11,jun,305,10,-1,0,unknown,no
10081,27,technician,single,unknown,no,555,no,no,unknown,11,jun,240,9,-1,0,unknown,no
10082,38,blue-collar,divorced,secondary,no,2998,yes,no,unknown,11,jun,91,1,-1,0,unknown,no
10085,60,blue-collar,married,primary,no,3230,no,no,unknown,11,jun,281,4,-1,0,unknown,no
10086,45,technician,married,secondary,no,3007,no,no,unknown,11,jun,442,1,-1,0,unknown,no
10103,44,blue-collar,married,secondary,no,289,no,no,unknown,11,jun,300,1,-1,0,unknown,no
10106,39,blue-collar,single,secondary,no,393,yes,no,unknown,11,jun,339,1,-1,0,unknown,no
10114,42,self-employed,divorced,tertiary,no,0,no,no,unknown,11,jun,694,2,-1,0,unknown,no
10118,37,self-employed,married,secondary,no,883,no,no,unknown,11,jun,153,1,-1,0,unknown,no
10124,37,admin.,married,unknown,no,463,yes,no,unknown,11,jun,158,1,-1,0,unknown,no
10129,51,blue-collar,married,primary,no,7080,no,no,unknown,11,jun,26,1,-1,0,unknown,no
10134,57,housemaid,married,primary,no,58,no,no,unknown,11,jun,510,1,-1,0,unknown,no
10138,40,technician,married,secondary,no,0,no,no,unknown,11,jun,420,1,-1,0,unknown,no
10139,31,blue-collar,single,secondary,yes,-9,yes,yes,unknown,11,jun,115,16,-1,0,unknown,no
10140,49,entrepreneur,married,tertiary,no,384,no,no,unknown,11,jun,64,1,-1,0,unknown,no
10141,42,self-employed,married,tertiary,no,1202,no,no,unknown,11,jun,40,1,-1,0,unknown,no
10157,45,unknown,married,primary,no,44,no,no,unknown,11,jun,81,1,-1,0,unknown,no
10161,50,blue-collar,married,tertiary,no,676,no,no,unknown,11,jun,159,1,-1,0,unknown,no
10174,51,technician,married,secondary,no,13089,no,no,unknown,11,jun,247,1,-1,0,unknown,no
10175,40,blue-collar,single,primary,no,1780,no,yes,unknown,11,jun,114,1,-1,0,unknown,no
10177,50,blue-collar,married,unknown,no,0,no,no,unknown,11,jun,249,1,-1,0,unknown,no
10179,49,blue-collar,divorced,secondary,no,1869,no,yes,unknown,11,jun,257,1,-1,0,unknown,no
10186,41,housemaid,divorced,secondary,no,637,yes,yes,unknown,11,jun,678,4,-1,0,unknown,no
10187,38,admin.,married,primary,no,464,no,yes,unknown,11,jun,86,2,-1,0,unknown,no
10190,57,housemaid,married,primary,no,2234,no,no,unknown,11,jun,201,5,-1,0,unknown,no
10193,36,unemployed,single,tertiary,no,9019,yes,no,unknown,11,jun,952,3,-1,0,unknown,no
10201,42,self-employed,married,tertiary,no,2821,no,no,unknown,11,jun,203,2,-1,0,unknown,no
10204,40,services,married,secondary,no,376,yes,yes,unknown,11,jun,268,2,-1,0,unknown,no
10205,41,management,married,tertiary,no,6204,no,yes,unknown,11,jun,148,2,-1,0,unknown,no
10211,48,technician,married,tertiary,no,2369,no,no,unknown,11,jun,516,2,-1,0,unknown,no
10215,37,entrepreneur,single,tertiary,no,108,no,no,unknown,11,jun,157,6,-1,0,unknown,no
10220,43,retired,married,primary,no,7298,no,no,unknown,11,jun,36,2,-1,0,unknown,no
10223,39,admin.,single,tertiary,no,23,no,no,unknown,11,jun,162,3,-1,0,unknown,no
10225,46,unknown,married,primary,no,285,no,no,unknown,11,jun,215,2,-1,0,unknown,no
10231,56,housemaid,single,primary,no,1,no,no,unknown,11,jun,83,2,-1,0,unknown,no
10235,39,self-employed,married,tertiary,no,0,no,no,unknown,11,jun,904,4,-1,0,unknown,no
10243,44,blue-collar,married,primary,no,321,yes,no,unknown,11,jun,59,8,-1,0,unknown,no
10244,45,services,married,secondary,no,1306,no,no,unknown,11,jun,125,3,-1,0,unknown,no
10245,52,admin.,married,secondary,no,4233,no,no,unknown,11,jun,158,2,-1,0,unknown,no
10246,36,blue-collar,married,secondary,no,1704,no,no,unknown,11,jun,179,4,-1,0,unknown,no
10250,43,technician,single,secondary,no,59,yes,no,unknown,11,jun,107,19,-1,0,unknown,no
10254,37,blue-collar,married,primary,yes,-142,no,no,unknown,11,jun,199,3,-1,0,unknown,no
10257,40,blue-collar,married,primary,no,5560,yes,no,unknown,11,jun,93,3,-1,0,unknown,no
10258,36,blue-collar,married,primary,no,272,no,no,unknown,11,jun,222,2,-1,0,unknown,no
10266,42,blue-collar,married,primary,no,530,no,no,unknown,11,jun,850,8,-1,0,unknown,no
10272,34,blue-collar,married,secondary,no,352,yes,no,unknown,12,jun,52,3,-1,0,unknown,no
10280,53,self-employed,divorced,tertiary,no,1841,no,no,unknown,12,jun,403,5,-1,0,unknown,no
10282,44,services,single,secondary,no,106,no,no,unknown,12,jun,109,2,-1,0,unknown,no
10285,39,management,married,unknown,no,4800,no,no,unknown,12,jun,135,3,-1,0,unknown,no
10293,40,entrepreneur,married,secondary,no,2252,no,no,unknown,12,jun,144,1,-1,0,unknown,no
10294,37,services,married,primary,no,0,yes,yes,unknown,12,jun,137,1,-1,0,unknown,no
10304,56,admin.,married,secondary,no,1290,no,no,unknown,12,jun,243,1,-1,0,unknown,no
10310,52,admin.,married,secondary,no,693,no,no,unknown,12,jun,271,1,-1,0,unknown,no
10311,53,housemaid,divorced,secondary,no,292,no,no,unknown,12,jun,92,2,-1,0,unknown,no
10317,57,entrepreneur,married,secondary,no,5657,yes,no,unknown,12,jun,146,1,-1,0,unknown,no
10327,50,unemployed,married,secondary,no,5164,no,no,unknown,12,jun,117,5,-1,0,unknown,no
10339,37,housemaid,married,secondary,no,187,no,no,unknown,12,jun,165,1,-1,0,unknown,no
10341,58,retired,married,primary,no,657,yes,no,unknown,12,jun,128,2,-1,0,unknown,no
10342,36,blue-collar,married,primary,no,398,yes,no,unknown,12,jun,278,1,-1,0,unknown,no
10345,55,entrepreneur,married,secondary,no,113,yes,no,unknown,12,jun,186,1,-1,0,unknown,no
10346,49,entrepreneur,married,secondary,yes,-178,no,yes,unknown,12,jun,84,1,-1,0,unknown,no
10348,50,blue-collar,married,primary,no,260,yes,no,unknown,12,jun,237,1,-1,0,unknown,no
10351,54,blue-collar,married,primary,no,1087,yes,no,unknown,12,jun,77,1,-1,0,unknown,no
10352,39,blue-collar,married,secondary,no,1367,no,no,unknown,12,jun,43,1,-1,0,unknown,no
10369,55,technician,married,secondary,no,57,yes,no,unknown,12,jun,331,12,-1,0,unknown,no
10370,47,services,married,secondary,no,137,no,no,unknown,12,jun,112,1,-1,0,unknown,no
10375,41,blue-collar,divorced,primary,no,1887,no,no,unknown,12,jun,168,2,-1,0,unknown,no
10376,56,self-employed,married,secondary,no,1113,no,no,unknown,12,jun,138,1,-1,0,unknown,no
10377,39,blue-collar,married,primary,no,1397,yes,no,unknown,12,jun,10,1,-1,0,unknown,no
10384,40,services,married,secondary,no,1291,no,yes,unknown,12,jun,138,1,-1,0,unknown,no
10387,55,blue-collar,married,primary,no,472,no,no,unknown,12,jun,80,2,-1,0,unknown,no
10394,45,management,married,primary,no,0,no,yes,unknown,12,jun,54,1,-1,0,unknown,no
10398,36,management,married,primary,no,5427,no,no,unknown,12,jun,398,1,-1,0,unknown,no
10399,47,housemaid,divorced,primary,no,1405,no,no,unknown,12,jun,127,1,-1,0,unknown,no
10400,43,housemaid,married,secondary,no,1476,no,no,unknown,12,jun,216,2,-1,0,unknown,no
10417,35,blue-collar,married,tertiary,no,2999,no,no,unknown,12,jun,1141,6,-1,0,unknown,yes
10419,37,services,married,secondary,no,1627,yes,no,unknown,12,jun,602,2,-1,0,unknown,no
10422,27,admin.,single,secondary,no,18188,yes,no,unknown,12,jun,541,17,-1,0,unknown,yes
10433,49,blue-collar,married,primary,no,3049,no,no,unknown,12,jun,124,2,-1,0,unknown,no
10435,46,management,single,tertiary,no,2223,no,no,unknown,12,jun,67,3,-1,0,unknown,no
10442,36,management,married,tertiary,no,-85,yes,no,unknown,12,jun,85,2,-1,0,unknown,no
10444,35,management,single,tertiary,no,3140,no,no,unknown,12,jun,130,3,-1,0,unknown,no
10451,46,technician,married,tertiary,no,4176,yes,no,unknown,12,jun,153,6,-1,0,unknown,no
10457,47,blue-collar,married,primary,no,-245,yes,yes,unknown,12,jun,67,4,-1,0,unknown,no
10461,50,unemployed,married,primary,no,210,no,no,unknown,16,jun,247,2,-1,0,unknown,no
10463,56,technician,married,secondary,no,654,yes,yes,unknown,16,jun,62,2,-1,0,unknown,no
10465,33,blue-collar,divorced,secondary,no,1,no,no,unknown,16,jun,66,5,-1,0,unknown,no
10467,27,technician,married,secondary,no,806,yes,no,unknown,16,jun,768,21,-1,0,unknown,no
10469,39,blue-collar,married,primary,no,275,yes,no,unknown,16,jun,189,2,-1,0,unknown,no
10472,50,technician,married,tertiary,no,917,no,no,unknown,16,jun,107,2,-1,0,unknown,no
10477,36,entrepreneur,single,tertiary,no,658,yes,no,unknown,16,jun,61,3,-1,0,unknown,no
10487,47,retired,married,secondary,no,477,no,no,unknown,16,jun,68,3,-1,0,unknown,no
10488,56,housemaid,married,primary,no,657,no,no,unknown,16,jun,211,2,-1,0,unknown,no
10491,38,blue-collar,married,secondary,no,213,yes,no,unknown,16,jun,270,15,-1,0,unknown,no
10500,48,blue-collar,divorced,secondary,yes,296,no,yes,unknown,16,jun,144,4,-1,0,unknown,no
10502,34,services,married,secondary,no,-62,yes,no,unknown,16,jun,109,3,-1,0,unknown,no
10504,52,retired,divorced,tertiary,no,3687,yes,yes,unknown,16,jun,741,4,-1,0,unknown,yes
10506,51,management,married,secondary,no,2216,yes,yes,unknown,16,jun,95,8,-1,0,unknown,no
10508,57,blue-collar,married,primary,no,24,no,no,unknown,16,jun,109,2,-1,0,unknown,no
10512,37,blue-collar,single,secondary,no,1120,no,no,unknown,16,jun,187,3,-1,0,unknown,no
10535,50,management,married,primary,no,0,no,no,unknown,16,jun,264,4,-1,0,unknown,no
10537,48,technician,single,tertiary,no,0,no,no,unknown,16,jun,73,4,-1,0,unknown,no
10541,48,management,married,tertiary,no,342,no,no,unknown,16,jun,452,1,-1,0,unknown,no
10543,42,entrepreneur,single,unknown,no,323,no,no,unknown,16,jun,617,1,-1,0,unknown,yes
10545,41,technician,married,secondary,no,902,no,no,unknown,16,jun,35,6,-1,0,unknown,no
10557,59,blue-collar,married,secondary,no,969,no,no,unknown,16,jun,270,1,-1,0,unknown,no
10564,38,technician,married,tertiary,no,606,no,no,unknown,16,jun,193,2,-1,0,unknown,no
10566,35,blue-collar,single,unknown,no,422,no,no,unknown,16,jun,140,1,-1,0,unknown,no
10568,55,retired,married,tertiary,no,2929,no,no,unknown,16,jun,556,3,-1,0,unknown,no
10592,42,blue-collar,married,secondary,no,2256,yes,no,unknown,16,jun,315,1,-1,0,unknown,no
10606,57,management,divorced,unknown,no,0,no,no,unknown,16,jun,235,2,-1,0,unknown,no
10618,39,technician,single,secondary,no,2321,no,yes,unknown,16,jun,203,2,-1,0,unknown,no
10620,59,retired,married,primary,no,0,no,no,unknown,16,jun,39,1,-1,0,unknown,no
10629,46,blue-collar,married,tertiary,no,993,yes,no,unknown,16,jun,78,1,-1,0,unknown,no
10633,55,technician,married,unknown,no,0,no,no,unknown,16,jun,153,1,-1,0,unknown,no
10636,48,unknown,married,unknown,no,3940,no,no,unknown,16,jun,298,6,-1,0,unknown,no
10637,35,admin.,married,secondary,no,5270,no,no,unknown,16,jun,110,8,-1,0,unknown,no
10641,39,admin.,divorced,secondary,no,952,yes,no,unknown,16,jun,62,1,-1,0,unknown,no
10643,38,services,divorced,secondary,no,439,no,no,unknown,16,jun,50,1,-1,0,unknown,no
10646,50,blue-collar,married,unknown,no,0,no,no,unknown,16,jun,599,3,-1,0,unknown,no
10660,50,housemaid,married,primary,no,4,no,no,unknown,16,jun,51,1,-1,0,unknown,no
